dance_id,dance_song_name,dance_artist,dance_song_youtube_id,dance_name,dance_counts,dance_wall_count,dance_starting_foot,dance_instructions_youtube_id,dance_move_sheet_link,dance_author_name,dance_is_special,dance_bpm,dance_duration,user_id
53,"My Maria","Brooks & Dunn",https://www.youtube.com/watch?v=ksJ7JnUY6ug,"My Maria",32,4,Right,https://www.youtube.com/watch?v=FHUxwXT6Ei4,http://www.copperknob.co.uk/stepsheets/my-maria-ID31669.aspx,"Mike Camara, Dan Albro, Mishnock",False,0,0,0
18,"Neon Moon","Brooks and Dunn",https://www.youtube.com/watch?v=ewiodUlKey4,"Cowboy Cha Cha",20,4,Left,https://www.youtube.com/watch?v=4GRH_VkjY2w,https://www.copperknob.co.uk/stepsheets/cowboy-cha-cha-ID59491.aspx,"Kelly Gellette & Michelle Stremche",False,0,0,0
124,"No Excuses","Meghan Trainor",https://www.youtube.com/watch?v=FuIOvmdzaLQ,"No Excuses",32,2,Left,https://www.youtube.com/watch?v=4KV0MFEJ7DM,https://www.copperknob.co.uk/stepsheets/no-excuses-ID123828.aspx,"Julia Wetzel",False,0,0,0
158,"No place","Backstreet Boys",https://www.youtube.com/watch?v=QAaqJ1OmqWM,"No place",32,4,Left,https://www.youtube.com/watch?v=fd9E2Ul6-YQ,https://www.copperknob.co.uk/stepsheets/no-place-like-you-ID130546.aspx,"Gwen Walker",False,0,0,0
54,"Old Time Rock And Roll","Bob Seger",https://www.youtube.com/watch?v=SoaAb5MnKtY,"Old Time Rock And Roll",32,4,Left,https://www.youtube.com/watch?v=C1OyrA2vfNQ,https://www.copperknob.co.uk/stepsheets/that-old-time-rock-n-roll-ID84747.aspx,"Lesley Clark",False,0,0,0
121,"One Man Band","Old Dominion",https://www.youtube.com/watch?v=hf4cT9r80CE,"One Man Band",28,4,Left,https://www.youtube.com/watch?v=rE9TRqhXLpY,https://www.copperknob.co.uk/stepsheets/i-dont-wanna-be-a-one-man-band-ID138464.aspx,Step5678,False,0,0,0
55,"Power Jam","DJ Cowboy James",,"Power Jam",24,4,Left,https://www.youtube.com/watch?v=YTT63SyphAk,,,False,0,0,0
56,"Redneck Girl - Infinity","Bellamy Brothers",https://www.youtube.com/watch?v=d5ojCK00lY4,"Redneck Girl",24,Circle,Left,https://www.youtube.com/watch?v=vXmS_j6q3xk,,,False,0,0,0
57,"Reggae Cowboy","Bellamy Brothers",https://www.youtube.com/watch?v=9mtaFHyEgy4,"Reggae Cowboy",24,4,Left,https://www.youtube.com/watch?v=RjyVMkUsOHs,,,False,0,0,0
58,"River Bank","Brad Paisley",https://www.youtube.com/watch?v=M8dHxO9eKqQ,"River Bank",32,4,Left,https://www.youtube.com/watch?v=5-rYsFxZZyY,,,False,0,0,0
161,"Saddle Up Shawty","Mikel Knight",https://www.youtube.com/watch?v=HxI5wzW1VTU,"Saddle Up Shawty",40,4,Left,https://www.youtube.com/watch?v=fEboa2Tbhfw,,,False,0,0,0
135,"Salt, Lime & Tequila","Ryan Griffin",https://www.youtube.com/watch?v=NKnMNVsfhEQ,"Salt, Lime & Tequila",32,4,Left,https://www.youtube.com/watch?v=sgmIcI-peJg,https://www.copperknob.co.uk/stepsheets/salt-lime--tequila-ID150002.aspx,"Marianne Langagne",False,0,0,0
168,"Save a Horse (Ride a Cowboy)","Big & Rich",https://www.youtube.com/watch?v=0aA4seB6ou8,"Save a Horse (Ride a Cowboy)",20,4,Left,https://www.youtube.com/watch?v=9mDcja11TI4,,,False,0,0,0
59,"Save Water, Drink Beer","Chris Young",https://www.youtube.com/watch?v=DgfmXMHevdQ,"Save Water, Drink Beer",32,4,Left,https://www.youtube.com/watch?v=mwNOvCVETIY,,"Magali Chabret",False,0,0,0
